Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Insurgent Teen,7/3/2023 13:08,0:46:32,,Breaking Bad: Season 4: Box Cutter (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,0:46:32,0:46:32,KE (Kenya)
Insurgent Teen,7/3/2023 12:19,0:46:43,,Breaking Bad: Season 3: Full Measure (Episode 13),,Netflix Windows App - Cadmium Windows Mobile,0:46:43,0:46:43,KE (Kenya)
Insurgent Teen,7/3/2023 11:33,0:00:04,Autoplayed: user action: None; ,Atypical (Trailer),TRAILER,Netflix Windows App - Cadmium Windows Mobile,0:00:04,Not latest view,KE (Kenya)
Insurgent Teen,7/3/2023 10:45,0:17:55,,"Workin' Moms: Season 6: Bachelorette, But Make It Spooky (Episode 10)",,Netflix Windows App - Cadmium Windows Mobile,0:17:31,0:17:31,KE (Kenya)
Insurgent Teen,7/3/2023 10:28,0:16:54,,Workin' Moms: Season 6: Buried (Episode 9),,Netflix Windows App - Cadmium Windows Mobile,0:21:14,0:21:14,KE (Kenya)
Insurgent Teen,7/3/2023 0:10,0:00:10,Autoplayed: user action: None; ,Season 4 Plot Clip: Titans,HOOK,Netflix Windows App - Cadmium Windows Mobile,0:00:10,0:00:10,KE (Kenya)
Insurgent Teen,7/2/2023 23:36,0:04:21,,Workin' Moms: Season 6: Buried (Episode 9),,Netflix Windows App - Cadmium Windows Mobile,0:04:21,Not latest view,KE (Kenya)
Insurgent Teen,7/2/2023 23:14,0:21:16,,Workin' Moms: Season 6: Poke the Bear (Episode 8),,Netflix Windows App - Cadmium Windows Mobile,0:21:16,0:21:16,KE (Kenya)
Insurgent Teen,7/2/2023 22:53,0:21:21,,Workin' Moms: Season 6: Goin' Fishin' (Episode 7),,Netflix Windows App - Cadmium Windows Mobile,0:21:21,0:21:21,KE (Kenya)
Insurgent Teen,7/2/2023 22:21,0:21:28,,Workin' Moms: Season 6: Oh. Ohh. Ohhh. (Episode 6),,Netflix Windows App - Cadmium Windows Mobile,0:21:28,0:21:28,KE (Kenya)
Insurgent Teen,7/2/2023 21:59,0:21:28,,Workin' Moms: Season 6: Jazz Addict (Episode 5),,Netflix Windows App - Cadmium Windows Mobile,0:21:28,0:21:28,KE (Kenya)
Insurgent Teen,7/2/2023 21:39,0:20:36,,Workin' Moms: Season 6: The Big One (Episode 4),,Netflix Windows App - Cadmium Windows Mobile,0:21:28,0:21:28,KE (Kenya)
Insurgent Teen,7/2/2023 20:52,0:44:14,,The Diplomat: Season 1: The James Bond Clause (Episode 8),,Netflix Windows App - Cadmium Windows Mobile,0:45:03,0:45:03,KE (Kenya)
Insurgent Teen,7/2/2023 20:46,0:06:15,,The Diplomat: Season 1: Keep Your Enemies Closer (Episode 7),,Netflix Windows App - Cadmium Windows Mobile,0:40:01,0:40:01,KE (Kenya)
Insurgent Teen,7/2/2023 20:45,0:00:27,Autoplayed: user action: None; ,How to Get Away with Murder: Season 1_hook_primary_16x9,HOOK,Netflix Windows App - Cadmium Windows Mobile,0:00:00,0:00:00,KE (Kenya)
Insurgent Teen,7/2/2023 20:43,0:02:03,,Romantic Killer: Season 1: Why Is there So Much Legalese in Magic!? (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,0:02:03,0:02:03,KE (Kenya)
Insurgent Teen,7/2/2023 14:50,0:01:56,Autoplayed: user action: None; ,Breaking Bad: Season 3: Full Measure (Episode 13),,Chrome PC (Cadmium),0:02:00,Not latest view,KE (Kenya)
Insurgent Teen,7/2/2023 14:03,0:46:27,,Breaking Bad: Season 3: Half Measures (Episode 12),,Chrome PC (Cadmium),0:46:30,0:46:30,KE (Kenya)
Insurgent Teen,7/2/2023 13:17,0:46:28,,Breaking Bad: Season 3: Abiquiu (Episode 11),,Chrome PC (Cadmium),0:46:31,0:46:31,KE (Kenya)
Insurgent Teen,7/2/2023 12:30,0:46:28,,Breaking Bad: Season 3: Fly (Episode 10),,Chrome PC (Cadmium),0:46:31,0:46:31,KE (Kenya)
Insurgent Teen,7/2/2023 12:24,0:05:54,,Breaking Bad: Season 3: Kafkaesque (Episode 9),,Chrome PC (Cadmium),0:46:32,0:46:32,KE (Kenya)
Insurgent Teen,7/2/2023 11:20,0:41:09,,Breaking Bad: Season 3: Kafkaesque (Episode 9),,Chrome PC (Cadmium),0:41:24,Not latest view,KE (Kenya)
Insurgent Teen,7/2/2023 11:02,0:12:54,,Breaking Bad: Season 3: I See You (Episode 8),,Chrome PC (Cadmium),0:46:29,0:46:29,KE (Kenya)
Insurgent Teen,7/1/2023 23:13,0:33:25,Autoplayed: user action: None; ,Breaking Bad: Season 3: I See You (Episode 8),,Chrome PC (Cadmium),0:33:34,Not latest view,KE (Kenya)
Insurgent Teen,7/1/2023 23:05,0:08:21,,Breaking Bad: Season 3: One Minute (Episode 7),,Chrome PC (Cadmium),0:46:32,0:46:32,KE (Kenya)
Insurgent Teen,7/1/2023 21:45,0:37:54,,Breaking Bad: Season 3: One Minute (Episode 7),,Chrome PC (Cadmium),0:38:10,Not latest view,KE (Kenya)
Insurgent Teen,7/1/2023 20:59,0:41:00,,Breaking Bad: Season 3: Sunset (Episode 6),,Chrome PC (Cadmium),0:46:31,0:46:31,KE (Kenya)
Insurgent Teen,7/1/2023 19:44,0:01:21,,Breaking Bad: Season 3: Sunset (Episode 6),,Chrome PC (Cadmium),0:05:30,Not latest view,KE (Kenya)
Insurgent Teen,7/1/2023 16:10,0:00:03,,Breaking Bad: Season 3: Sunset (Episode 6),,Chrome PC (Cadmium),0:04:09,Not latest view,KE (Kenya)
